2020-04-17 14:30:01.257 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:65309.
2020-04-17 14:30:01.258 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.258 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.258 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.258 [Thread-2] INFO  ServerWorker - New command CHECK from /127.0.0.1:65309.
2020-04-17 14:30:01.258 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.258 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.258 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.259 [Thread-2] INFO  ServerWorker - New command ADD from /127.0.0.1:65309.
2020-04-17 14:30:01.259 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.259 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.259 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.260 [Thread-2] INFO  ServerWorker - New command HELP from /127.0.0.1:65309.
2020-04-17 14:30:01.260 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.260 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.260 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.261 [Thread-2] INFO  ServerWorker - New command SHOW from /127.0.0.1:65309.
2020-04-17 14:30:01.261 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.261 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.261 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.261 [Thread-2] INFO  ServerWorker - New command PRINT_FIELD_DESCENDING_PRICE from /127.0.0.1:65309.
2020-04-17 14:30:01.261 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.262 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.262 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.262 [Thread-2] INFO  ServerWorker - New command SHOW from /127.0.0.1:65309.
2020-04-17 14:30:01.263 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.263 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.263 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.264 [Thread-2] INFO  ServerWorker - New command ADD from /127.0.0.1:65309.
2020-04-17 14:30:01.264 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.264 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.264 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.264 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:65309.
