2020-04-17 14:34:31.541 [main] INFO  ServerStarter - The program started.
2020-04-17 14:34:31.544 [main] INFO  ServerStarter - The port reader started.
2020-04-17 14:34:31.545 [main] INFO  ServerStarter - To start the server, enter the port or 'exit' to exit the program.
2020-04-17 14:34:46.171 [main] INFO  ServerWorker - Server port: 6665
2020-04-17 14:34:46.171 [main] INFO  ServerWorker - Path file.json discovered.
2020-04-17 14:34:46.171 [main] INFO  ServerWorker - File file.json discovered.
2020-04-17 14:34:46.171 [main] INFO  ServerWorker - File is D:\java\ITMO_RobotSystem_lab6\file.json
2020-04-17 14:34:46.171 [main] INFO  ServerWorker - Server initialization.
2020-04-17 14:34:46.175 [main] INFO  ServerWorker - Load collection.
2020-04-17 14:34:46.176 [main] WARN  Loader - The file is empty. Only adding items to the collection is possible.
2020-04-17 14:34:46.176 [main] INFO  ServerWorker - Server started on port 6665.
2020-04-17 14:35:14.188 [Thread-2] INFO  ServerWorker - New command CHECK from /127.0.0.1:49568.
2020-04-17 14:35:14.189 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.189 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.190 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.230 [Thread-2] INFO  ServerWorker - New command INFO from /127.0.0.1:49568.
2020-04-17 14:35:14.230 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.230 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.230 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.232 [Thread-2] INFO  ServerWorker - New command SHOW from /127.0.0.1:49568.
2020-04-17 14:35:14.237 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.237 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.237 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.237 [Thread-2] INFO  ServerWorker - New command PRINT_FIELD_DESCENDING_PRICE from /127.0.0.1:49568.
2020-04-17 14:35:14.237 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.237 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.237 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.237 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:49568.
2020-04-17 14:35:14.238 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.238 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.238 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.238 [Thread-2] INFO  ServerWorker - New command CHECK from /127.0.0.1:49568.
2020-04-17 14:35:14.238 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.238 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.238 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.245 [Thread-2] INFO  ServerWorker - New command INFO from /127.0.0.1:49568.
2020-04-17 14:35:14.246 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.246 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.246 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.247 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:49568.
2020-04-17 14:35:14.247 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.248 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.248 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.249 [Thread-2] INFO  ServerWorker - New command SHOW from /127.0.0.1:49568.
2020-04-17 14:35:14.249 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.250 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.250 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.282 [Thread-2] INFO  ServerWorker - New command ADD from /127.0.0.1:49568.
2020-04-17 14:35:14.288 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.288 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.288 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.289 [Thread-2] INFO  ServerWorker - New command ADD_IF_MIN from /127.0.0.1:49568.
2020-04-17 14:35:14.292 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.292 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.292 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.292 [Thread-2] INFO  ServerWorker - New command CHECK from /127.0.0.1:49568.
2020-04-17 14:35:14.292 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.292 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.292 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.295 [Thread-2] INFO  ServerWorker - New command SHOW from /127.0.0.1:49568.
2020-04-17 14:35:14.296 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.296 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.298 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.298 [Thread-2] INFO  ServerWorker - New command SHOW from /127.0.0.1:49568.
2020-04-17 14:35:14.298 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.298 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.299 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.300 [Thread-2] INFO  ServerWorker - New command ADD from /127.0.0.1:49568.
2020-04-17 14:35:14.300 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.300 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.300 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.301 [Thread-2] INFO  ServerWorker - New command ADD_IF_MIN from /127.0.0.1:49568.
2020-04-17 14:35:14.301 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.302 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.302 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.303 [Thread-2] INFO  ServerWorker - New command PRINT_FIELD_DESCENDING_PRICE from /127.0.0.1:49568.
2020-04-17 14:35:14.306 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.306 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.307 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.307 [Thread-2] INFO  ServerWorker - New command SHOW from /127.0.0.1:49568.
2020-04-17 14:35:14.307 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.307 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.308 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.308 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:49568.
2020-04-17 14:35:14.314 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.314 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.314 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.315 [Thread-2] INFO  ServerWorker - New command ADD from /127.0.0.1:49568.
2020-04-17 14:35:14.315 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.315 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.315 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.315 [Thread-2] INFO  ServerWorker - New command INFO from /127.0.0.1:49568.
2020-04-17 14:35:14.315 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:35:14.315 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:35:14.316 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:35:14.316 [Thread-2] INFO  ServerWorker - New command HELP from /127.0.0.1:49568.
2020-04-17 14:35:14.316 [Thread-2] INFO  ServerWorker - Command complete.
